# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 627K of event 'cycles:ppp'
# Event count (approx.): 433495634427
#
# Overhead  Command          Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..............................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     8.80%  read_bottleneck  libc-2.27.so                    [.] __random_r
     8.69%  read_bottleneck  libc-2.27.so                    [.] __random
     4.65%  rocksdb:low0     [kernel.kallsyms]               [k] copy_user_enhanced_fast_string
     4.51%  read_bottleneck  read_bottleneck_breakdown_test  [.] main
     1.92%  rocksdb:low0     libc-2.27.so                    [.] __memmove_avx_unaligned_erms
     1.72%  rocksdb:low0     libc-2.27.so                    [.] __memset_avx2_erms
     1.72%  read_bottleneck  libc-2.27.so                    [.] rand
     1.64%  read_bottleneck  [kernel.kallsyms]               [k] copy_user_enhanced_fast_string
     1.38%  read_bottleneck  read_bottleneck_breakdown_test  [.] rand@plt
     1.31%  rocksdb:low0     libsnappy.so.1.1.7              [.] snappy::internal::CompressFragment
     1.21%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::crc32c::crc32c_3way
     1.06%  rocksdb:low0     libc-2.27.so                    [.] cfree@GLIBC_2.2.5
     0.97%  read_bottleneck  libc-2.27.so                    [.] cfree@GLIBC_2.2.5
     0.85%  read_bottleneck  [kernel.kallsyms]               [k] do_syscall_64
     0.80%  read_bottleneck  libc-2.27.so                    [.] __memmove_avx_unaligned_erms
     0.79%  read_bottleneck  [vdso]                          [.] __vdso_clock_gettime
     0.72%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::IndexBlockIter::SeekImpl
     0.71%  rocksdb:low0     [kernel.kallsyms]               [k] do_syscall_64
     0.71%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompactionIterator::NextFromInput
     0.64%  rocksdb:low0     libc-2.27.so                    [.] malloc
     0.64%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTable::KeyComparator::operator()
     0.60%  read_bottleneck  libc-2.27.so                    [.] malloc
     0.55%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::crc32c::crc32c_3way
     0.53%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::BytewiseComparatorImpl::Compare
     0.53%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::MergingIterator::Next
     0.50%  read_bottleneck  libc-2.27.so                    [.] __memcmp_avx2_movbe
     0.48%  rocksdb:low0     [kernel.kallsyms]               [k] __block_commit_write.isra.34
     0.48%  rocksdb:low0     libc-2.27.so                    [.] _int_malloc
     0.47%  rocksdb:low0     [kernel.kallsyms]               [k] radix_tree_next_chunk
     0.46%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTable::KeyComparator::operator()
     0.45%  rocksdb:low0     libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace
     0.41%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockIter<rocksdb::IndexValue>::CompareCurrentKey
     0.39%  read_bottleneck  [kernel.kallsyms]               [k] find_get_entry
     0.39%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::status
     0.39%  read_bottleneck  libc-2.27.so                    [.] _int_malloc
     0.38%  read_bottleneck  [kernel.kallsyms]               [k] __radix_tree_lookup
     0.36%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::LRUHandleTable::FindPointer
     0.35%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBuilder::Add
     0.33%  read_bottleneck  [kernel.kallsyms]               [k] __entry_trampoline_start
     0.32%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompactionJob::ProcessKeyValueCompaction
     0.31%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Status::operator=
     0.31%  rocksdb:low0     [kernel.kallsyms]               [k] get_page_from_freelist
     0.31%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::Get
     0.30%  rocksdb:low0     [kernel.kallsyms]               [k] find_get_entry
     0.29%  rocksdb:low0     [kernel.kallsyms]               [k] crc32c_pcl_intel_update
     0.29%  read_bottleneck  [kernel.kallsyms]               [k] syscall_return_via_sysret
     0.28%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockFetcher::ReadBlockContents
     0.27%  rocksdb:low0     [kernel.kallsyms]               [k] __entry_trampoline_start
     0.26%  rocksdb:high0    libc-2.27.so                    [.] __memmove_avx_unaligned_erms
     0.26%  rocksdb:low0     [kernel.kallsyms]               [k] syscall_return_via_sysret
     0.26%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::RecomputeSpliceLevels
     0.26%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::Add
     0.26%  rocksdb:low0     libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append
     0.26%  rocksdb:low0     [vdso]                          [.] __vdso_gettimeofday
     0.25%  read_bottleneck  [vdso]                          [.] __vdso_gettimeofday
     0.25%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DBImpl::WriteImpl
     0.23%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Version::Get
     0.23%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::HistogramBucketMapper::IndexForValue
     0.23%  read_bottleneck  libc-2.27.so                    [.] __clock_gettime
     0.23%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::HistogramBucketMapper::IndexForValue
     0.23%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::DataBlockIter::NextImpl
     0.23%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::NextAndGetResult
     0.22%  rocksdb:low0     libc-2.27.so                    [.] __memcmp_avx2_movbe
